~z20121107_M!Contra001.nev,77,2.22043,2.318671,
~z20121107_M!Contra001.nev,77,2.22043,2.318671,
~z20130205_M1Contra_ECoG2K_passiveobs001.nev,72,1.995277,2.114381,
~z20130205_M1Contra_ECoG2K_passiveobs001.nev,72,1.995277,2.114381,
~z20130206_M1Contra_ECoG2K_activeobs002 (2).nev,75,2.030672,2.139954,
~z20130206_M1Contra_ECoG2K_activeobs002 (2).nev,75,2.030672,2.139954,
~z20130206_M1Contra_ECoG2K_activeobs002.nev,75,2.030672,2.139954,
~z20130206_M1Contra_ECoG2K_activeobs002.nev,75,2.030672,2.139954,
~z20130208_M1Contra_ECoG2kRESAMPLE.nev,0, NaN, NaN,
~z20130208_M1Contra_ECoG2kRESAMPLE.nev,0, NaN, NaN,
~z20130909_M1Contra001-C4-01.nev,81,2.483965,2.497791,
~z20130926_M1Contra001.nev,64,3.421705,3.481963,
02082010_BP_M1abc_tng001.nev,10,3.987007,3.987007,
02082010_BP_M1abc_tng002.nev,8,3.748911,3.748911,
02082010_BP_M1abc_tng003.nev,0, NaN, NaN,
02082010_BP_M1abc_tng004.nev,5,3.995387,3.995387,
02082010_BP_M1abc_tng005.nev,13,2.485806,3.435641,
02092011_BP_M1abc_CMAa001.nev,3,1.09523,3.821909,
05092011_CMAabc_icmsM1_01.nev,0, NaN, NaN,
05092011_CMAabc_icmsS1_01001.nev,0, NaN, NaN,
05092011_S1abc_icmsCMA003.nev,10,1.214197,3.019939,
052616.nev,47,2.454851,3.170641,
07112011_M1abc_icmsM1c001.nev,0, NaN, NaN,
07112011_M1abc_icmsM1c002.nev,0, NaN, NaN,
07112011_M1abc_icmsM1c-v2001.nev,0, NaN, NaN,
080814_PMd_BRP001.nev,71,3.821137,3.821137,
091013_EMG_30kHz002.nev,0, NaN, NaN,
091013_EMG001.nev,0, NaN, NaN,
091120MI001.nev,26,1.539114,3.152264,
091120MI001.nev,41,2.468748,3.156075,
091124PMv001.nev,21,2.535575,3.941242,
10082010M1a2cCMAb001.nev,61,3.036905,3.511631,
10082010S1a2cCMAc001.nev,56,2.472319,3.094769,
10112010BPM1abcCMAd001001.nev,14,1.354006,2.753533,
10112010BPS1abcCMAd001001.nev,19,1.1162,2.956376,
10122010BPM1abcCMAd_Chew_001001.nev,1,0.243765,1.552727,
10122010BPM1abcCMAd_Chew_001001_AS_SNR5.nev,0, NaN, NaN,
10122010BPM1abcCMAd001001001.nev,3,0.386043,1.807549,
10122010BPM1abcCMAd001001002.nev,27,1.444667,2.534257,
10122010BPM1abcCMAd001001003.nev,3,3.820317,3.820317,
10122010BPM1abcCMAd001001004.nev,8,0.630474,2.254414,
10122010BPM1abcCMAd001001005.nev,1,0.314706,2.243126,
10132010BPM1abcCMAc001.nev,5,0.526835,2.100013,
10132010BPM1abcCMAc002.nev,0,0.550603, NaN,
10132010BPM1abcCMAc003.nev,1,0.484152,3.083138,
10152010_BP_CMAa_M1icms_bankA001.nev,0,0.425812, NaN,
10152010_BP_M1abc_CMAa_natbehav001.nev,26,1.680666,2.72967,
10152010_BP_M1abc_CMAicms_bankB001.nev,20,1.453324,2.550397,
10152010_BP_M1abc_CMAicms_bankB002.nev,24,3.789202,3.789202,
10152010_BP_M1abc_CMAicms_bankB003.nev,14,1.274201,2.358273,
10152010_BP_M1abc_CMAicms_bankC001.nev,17,1.352078,2.473841,
10152010_BP_M1abc_CMAicms001.nev,23,2.15195,2.91119,
10152010_BP_M1abc_CMAicms002.nev,19,1.338783,2.301227,
10162010_BP_M1abc_CMAb_icmsM1a001.nev,8,0.732256,1.99709,
10162010_BP_M1abc_CMAb_icmsM1a002.nev,19,0.985649,2.117436,
10162010_BP_M1abc_CMAb_icmsM1b001.nev,10,1.231968,2.081934,
10162010_BP_M1abc_CMAb_icmsM1c001.nev,9,0.957326,1.910723,
10162010_BP_M1abc_CMAb_natbehav001.nev,19,1.307019,2.681707,
10212010_BP_M1abc_CMAb_chew001.nev,12,0.636218,2.358945,
10212010_BP_M1abc_CMAb_tongue001.nev,18,3.676671,3.676671,
10212010_BP_M1abc_CMAb_tongue002.nev,25,3.002606,3.063897,
10212010_BP_M1abc_CMAb_tongue003.nev,27,1.938285,2.808587,
10212010_BP_M1abc_CMAb_tongue004.nev,41,2.025826,2.891634,
10222010_BP_CMAb_icmsM1a001.nev,1,0.568659,2.916852,
10222010_BP_CMAb_icmsM1b001.nev,1,1.52431,2.422009,
10222010_BP_CMAb_icmsM1c001.nev,0,0.458938, NaN,
10222010_BP_M1abc_CMAb_posticms001.nev,23,0.876136,2.376949,
10222010_BP_M1abc_CMAb_tng001.nev,34,2.484897,2.980399,
10222010_BP_M1abc_CMAb_tng002.nev,34,2.875974,3.168137,
10222010_BP_M1abc_CMAb_tng003.nev,35,3.022305,3.314909,
10222010_BP_M1abc_CMAb_tng004.nev,31,2.634818,3.156776,
10222010_BP_M1abc_CMAb_tng005.nev,31,2.358047,3.022378,
10222010_BP_S1abc_CMAa_icmsM1a001.nev,7,0.928308,2.478159,
10222010_BP_S1abc_CMAa_icmsM1b001.nev,6,1.014868,1.856408,
